# submitted_item	validated_id	current_symbol
O46034	FBgn0020224	Cbl
O96676	FBgn0026144	CBP
Q9V3L6	FBgn0022943	Cbp20
Q7K4N3	FBgn0022942	Cbp80
Q7JRK3	unknown ID	-
Q9VD55	FBgn0038925	Cchl
A1Z850	FBgn0010531	Ccs
Q7K4C7	FBgn0041342	Pcyt1
A1Z8U4	FBgn0010621	CCT5
A4V303	FBgn0015019	CCT3
P48605	FBgn0015019	CCT3
O96679	FBgn0025781	Cdc16
P23572	FBgn0004106	Cdk1
Q9I7L8	FBgn0032863	Cdc23
Q24021	FBgn0012058	Cdc27
P23573	FBgn0004107	Cdk2
A1Z840	FBgn0013435	Cdc2rk
Q24276	FBgn0011573	Cdc37
P40793	FBgn0010341	Cdc42
O96989	FBgn0026143	Cdc45
Q2M1E6	FBgn0265082	Cdep
P48609	FBgn0013762	Cdk5
Q24216	FBgn0263237	Cdk7
Q9VT57	FBgn0015618	Cdk8
O17432	FBgn0019949	Cdk9
Q9VEC5	FBgn0261532	cdm
Q8MS15	FBgn0032409	Ced-12
Q7JUY7	FBgn0029092	ced-6
Q7KS50	FBgn0039056	CenB1A
A1ZBK7	FBgn0034443	cer
A8DYD2	FBgn0000289	cg
B7YZE6	FBgn0000289	cg
Q9VQU0	FBgn0031563	CG10031
Q95RN0-1	unknown ID	-
Q9VI85	FBgn0037492	CG10050
Q9VI74	FBgn0037482	CG10055
Q9VBX5	FBgn0051108	TTLL5
Q9VRZ7	FBgn0035722	CG10075
Q9W2F2	FBgn0034641	mahj
Q9VU84	FBgn0036372	Abp1
Q8SXK2	FBgn0037526	ArgRS-m
Q9VI64	FBgn0037472	CG10098
Q9VIA5	FBgn0037501	Ir84a
Q9VRY6	FBgn0035715	Ist1
Q8MR14	FBgn0035713	velo
Q9VRX2	FBgn0035704	Vps8
Q7K2Q8	FBgn0266723	Trs31
Q9VCK1	FBgn0039099	GILT2
Q9VM65	FBgn0031871	Fgop2
Q9VRW5	FBgn0035697	CG10163
Q9VIU7	FBgn0032799	Dpm1
Q9W062	FBgn0035294	Mfap1
Q9VCK6	FBgn0039094	CG10184
Q8MQR4	FBgn0032796	cyst
Q9VIV3	FBgn0032793	CG10189
Q9VU65	FBgn0036354	Poc1
Q9VIV6	FBgn0032790	CG10194
Q9VCH7	FBgn0039118	CG10208
Q9VCI0	FBgn0039115	CG10214
Q9VCI4	FBgn0039113	udt
Q8MSW9	FBgn0053505	U3-55K
Q9VU67	FBgn0036356	CG10222
Q9VCI7	FBgn0039110	RanBP3
Q8INW5	FBgn0032783	CG10237
Q9VBX2	FBgn0039280	Mocs2B
Q9VCJ5	FBgn0043005	prt
Q9XZ32	FBgn0027512	CG10254
Q8INV9	unknown ID	-
Q7K2K2	FBgn0033990	CG10265
Q9VIT2	FBgn0032811	CG10268
Q8T089	FBgn0037442	gzl
Q9VI15	FBgn0037439	CG10286
Q95R81	FBgn0035688	fmt
Q9W2D9	FBgn0034654	eIF3k
Q9W2E8	FBgn0034645	ND-B12
Q2XY74	FBgn0034643	CG10321
Q9V4B8	FBgn0051999	CG31999
Q8SZD8	FBgn0038454	CG10324
Q9VES1	FBgn0038453	Arl6IP1
Q95SF2	FBgn0032690	CG10333
Q8INX3-1	unknown ID	-
A8DZ16	unknown ID	-
Q9VJ60	FBgn0032703	CG10343
Q9VYT5	FBgn0030342	CG10347
Q9VM71	FBgn0031868	Rat1
Q9VJ59	FBgn0032704	Jwa
