# submitted_item	validated_id	current_symbol
Q9VMV7	FBgn0031668	CG31917
Q7KTP7	FBgn0264743	CG44001
Q9W3X7	FBgn0029888	ND-ASHI
Q9VQ13	FBgn0051926	CG31926
Q9VQ26	FBgn0051935	CG31935
Q8IPX7	FBgn0260648	Rrp40
Q8IPZ7	FBgn0051950	Sbat
Q95TP0	FBgn0051961	TBCC
Q9W3X8	FBgn0029887	CG3198
A8DZ26	FBgn0052000	anne
Q86BR2	unknown ID	-
Q8T481	FBgn0052022	CG32022
Q6AWN0	FBgn0052068	Adi1
Q9VTE1	FBgn0052069	CG32069
Q960R0	FBgn0034971	Gpat4
Q0E8F2	FBgn0052103	SCaMC
Q9NHD0	FBgn0052104	CG32104
Q9VU04	FBgn0052109	CG32109
Q9VUB7	FBgn0052133	Ptip
Q8MSI7	FBgn0031436	ND-B17.2
Q8SZB7	FBgn0047178	CG32147
Q9I7R5	FBgn0042178	Apl
Q9VVG6	FBgn0052174	Coq4
Q4V604	FBgn0052202	CG32202
Q9VHX2	FBgn0037538	CG3223
Q8SYJ2	FBgn0052230	ND-MLRQ
Q9W3Y0	FBgn0029885	CG3224
Q8MZ22	FBgn0052243	CG32243
Q9VR29	FBgn0031631	CG3225
Q8IRB5	FBgn0052251	Claspin
Q9W3Y3	FBgn0029882	CG3226
A8JNJ8	FBgn0052264	CG32264
Q7YU16	FBgn0052264	CG32264
Q8IRD0	FBgn0052267	CG32267
Q8IRE4	FBgn0052281	CG32281
Q8MRF8	FBgn0284253	LeuRS
Q7KV98	FBgn0266696	Svil
Q8SX81	FBgn0052350	Vps11
Q5U108	FBgn0052409	CG32409
Q6AWP4	FBgn0052441	EMC10
Q8SXV8	FBgn0031538	CG3246
Q8IQZ0	unknown ID	-
Q9VWD0	FBgn0052528	parvin
Q7KUW2	FBgn0052549	CG32549
Q59E43	FBgn0052576	CG32576
Q8IR52	FBgn0052602	Muc12Ea
B7YZY7	unknown ID	-
Q8SZU4	FBgn0032986	CG3262
Q76NQ9	FBgn0052626	AMPdeam
Q8IR72	FBgn0052638	CG32638
Q8I079	FBgn0052640	CG32640
Q8I079	FBgn0052641	CG32641
A8JUU1	FBgn0052654	Sec16
Q8IR95	FBgn0052667	ssp7
Q0KHU5-1	unknown ID	-
Q9W394	FBgn0052708	CG32708
Q9W3U7	FBgn0263993	CG43736
Q9W486	FBgn0052758	Snx27
Q2PE29	FBgn0260658	CG42541
Q8IRT0	FBgn0052786	Gem4b
Q9W0N6	FBgn0260862	Vti1a
A4V3W8	FBgn0040384	CG32795
Q9U1M2	FBgn0040384	CG32795
Q8SX35	FBgn0052850	CG32850
A1Z6Q0	FBgn0265003	koi
Q960M4	FBgn0038570	Prx5
Q9W2N5	FBgn0034573	CG3295
Q8IPA5	FBgn0052831	CG33695
Q7KT96	unknown ID	-
Q9VF14	FBgn0038381	EndoU
Q8SZP0	FBgn0032949	Lamp1
Q86BI8	FBgn0053051	CG33051
Q8IQQ4	FBgn0053052	Gorab
Q8IPU1	FBgn0053054	CG33054
Q86BG8	FBgn0053056	CG33056
Q9W4D1	FBgn0029756	CG3309
Q7KT91	FBgn0028916	CG33090
Q9VBX8	FBgn0053096	CG33096
Q86B83	FBgn0053099	CG33099
Q7YTY2	FBgn0053111	CG33111
A1Z992	FBgn0053138	AGBE
A1Z9F4	FBgn0053156	CG33156
Q8SY72-2	unknown ID	-
Q86B53	FBgn0053172	CG33172
Q9V6L0	FBgn0053182	Kdm4B
Q8WQ62	unknown ID	-
Q9VP27	FBgn0264561	Glg1
Q8MS38	FBgn0053217	CG33217
Q9W3A2	unknown ID	-
Q7KVF6	FBgn0261373	CG33228
Q9VQN8	FBgn0031519	Fign
Q7KU86	FBgn0053276	Urm1
Q76NQ0	FBgn0053303	CG33303
Q8IQ02	FBgn0031514	OtopLb
Q8MYR4	FBgn0036018	CG3335
Q95TS1	FBgn0031598	Vps53
Q9VTB4	FBgn0047038	ND-13B
A1Z9W2	FBgn0053506	CG33506
Q9VDD0	FBgn0038869	Smyd5
Q9W196	FBgn0034989	CG3356
Q7JUN9	FBgn0033117	CG3358
Q9W197	FBgn0034988	cN-IIIB
Q961M6	FBgn0266083	ocm
Q7K332	FBgn0050159	CG30159
Q86BL4	FBgn0064115	GatC
A1Z933	FBgn0061360	CG33672
Q0KHQ1	FBgn0064117	SLIRP1
Q8MLP3	FBgn0034997	CG3376
Q4AB40	unknown ID	-
Q8SXR7	FBgn0034999	Fatp3
Q29QV5	FBgn0264273	Sema2b
Q2MGL8	FBgn0053966	CG33966
Q9VGF1	FBgn0037975	CG3397
Q2PDR0	FBgn0053977	Dpm3
Q2PDX2	FBgn0054001	CG34001
Q6IJL2	FBgn0054008	CG34008
Q9W0P4	FBgn0035148	CG3402
Q2PDY0	unknown ID	-
Q9VT05	FBgn0036008	CG3408
Q0KI97	FBgn0083953	CG34117
Q0E8T6	FBgn0083961	CG34125
Q8IPL3	FBgn0083962	CG34126
Q9VXJ0	FBgn0030731	Mfe2
Q0KI15	FBgn0083986	CG34150
Q9VL29	FBgn0032190	CG5739
Q9VL29	FBgn0085188	CG34159
A8DYH2	FBgn0085220	Ufm1
Q8SYQ8	FBgn0033100	CG3420
Q6IGW6	FBgn0085229	CG34200
Q6IGN6	FBgn0085257	CG34228
A8JNT7	FBgn0263606	Hsc20
A8JNV1	FBgn0264747	CG44005
A8JNV2	FBgn0085282	CG34253
A8JNW5	FBgn0085290	CG34261
Q9VM60	FBgn0031875	CG3430
Q8SY15	FBgn0030782	CG18358
Q9VSZ6	FBgn0036000	CG3434
Q9VZ05	FBgn0085377	CG34348
A8JTM7	FBgn0261260	mgl
Q7K1C0	FBgn0031228	ND-15
Q9VPK9	unknown ID	-
A8DQW8	FBgn0261016	clos
Q8SXJ3	FBgn0035998	CG3437
A8JR01	FBgn0085412	kmr
A8DYU3	FBgn0085423	GramD1B
Q8IRL5	FBgn0085437	CG34408
Q7KUC2	FBgn0085484	Pdxk
Q9W402	FBgn0029868	ND-B16.6
Q9VSZ2	FBgn0035996	CG3448
Q9VM51	FBgn0031881	MME1
Q8T8Q5	FBgn0034854	Golgin245
Q9W1Y0	unknown ID	-
Q8T924	FBgn0034849	CG3500
Q9W1Y1	FBgn0034791	EMC8-9
Q8MSC4	FBgn0038252	BigH1
Q960Q8	FBgn0035027	CG3511
Q8MQP1	FBgn0034859	CG3520
B7Z001	FBgn0283427	FASN1
Q9W4J5	FBgn0029714	CG3527
Q9VSZ1	FBgn0035995	CG3529
Q9VGE4	FBgn0037979	GCC185
Q7KU25	unknown ID	-
Q9W140	FBgn0035033	CG3548
B7Z000	unknown ID	-
Q9VXI6	FBgn0030733	UQCR-14
Q7KSJ6	FBgn0263929	jvl
Q8IRR0	FBgn0029854	CG3566
Q9W138	FBgn0035035	Samtor
Q9W106	FBgn0035065	CG3589
Q95SP9	FBgn0038467	AdSL
Q9W4U2	FBgn0029648	CG3603
Q9VQK7	FBgn0031493	Sf3b2
Q9W133	FBgn0035039	Adck1
Q9VQB4	FBgn0031418	CG3609
O97418	FBgn0025839	ND-B14.5A
Q9W258	FBgn0034724	babos
Q8MQN6	FBgn0029706	CG3626
Q7YU03	FBgn0030735	CG3632
Q9VPB1	FBgn0037026	CG3634
Q9VPM1	FBgn0031238	CG3645
Q2PDW1	FBgn0031285	CG3662
Q9W127	FBgn0035044	CG3663
Q9VEQ2	FBgn0038461	EMC2B
Q9XZ22	FBgn0027521	CG3679
Q9VPB0	FBgn0037027	HIPP1
Q8SY88	FBgn0035046	ND-19
Q0E8G6	FBgn0035987	Cpsf5
Q5BII6	FBgn0040349	CG3699
Q9VQX6	FBgn0031590	CG3702
Q9VQX4-2	unknown ID	-
Q9VFF0	FBgn0038271	UQCR-C1
Q9VMX3	FBgn0031657	CG3756
Q8MMC4-1	unknown ID	-
Q8MMC4-2	unknown ID	-
Q8MQV7	FBgn0038692	Gdn1
Q9W429	FBgn0029849	Efr
Q9VMW8	FBgn0031662	CG3792
Q8T8R1	FBgn0034802	CNBP
Q9W1F5	FBgn0034938	CG3803
Q95R49	FBgn0036838	CG3808
Q9W410	FBgn0029861	CG3815
Q9VFE6	FBgn0038275	CG3817
Q8T001	FBgn0038279	Sdr
Q9W404	FBgn0029866	CG3842
Q8SXF3	unknown ID	-
Q9W1D9	FBgn0034951	CG3860
Q9VMV6	FBgn0031670	SelT
Q95U46	FBgn0036824	CG3902
Q9XZ19	FBgn0027524	CG3909
Q9VSY8	FBgn0260859	Bet3
Q9VH36	FBgn0037780	ohgt
Q9VPB9	FBgn0037019	Pex16
Q9VSY4-1	unknown ID	-
Q9VQV7	FBgn0031575	Cep97
Q8MT06	FBgn0038473	Ns1
Q9VFD0	FBgn0038291	CG3984
Q8MR15	FBgn0038472	CG3995
Q7PL91	FBgn0058002	ND-AGGG
Q7PL91	FBgn0085736	CG40472
Q8SYC3	FBgn0058006	CG40006
Q8MRW1	FBgn0267976	Tim23
Q8SYG3	FBgn0058045	CG40045
A8Y546	unknown ID	-
Q8MQI6-1	unknown ID	-
Q9W2M0	FBgn0034585	Rbpn-5
Q8MR16	FBgn0032149	CG4036
Q7KVQ0	FBgn0011824	CG4038
Q9W4F8	FBgn0029736	CG4041
Q8SYK3	FBgn0037018	CG4042
O77263	FBgn0025629	CG4045
Q7PLT4	FBgn0263977	Tim17b
Q9W1A8	FBgn0034976	CG4049
O77264	FBgn0025630	Rtca
A8QI34	FBgn0267363	JYalpha
Q9W1A2-1	unknown ID	-
Q9VGA8	FBgn0038011	CG4066
A8JUX7	FBgn0266000	CG44774
Q9VTZ7	FBgn0036301	CG4069
Q9VPC3	FBgn0037017	CG4074
Q9W484	FBgn0029798	CG4078
Q7KVH9-2	unknown ID	-
Q8MQV8	FBgn0036648	CG4098
Q7PLP5	FBgn0039955	CG41099
Q8SY69	FBgn0069923	CG41128
A8QI26	unknown ID	-
A8QI50	unknown ID	-
Q9VDK6	FBgn0038811	Pus1
Q9VPQ2	FBgn0031256	shv
Q9W4C3	FBgn0029763	Usp16-45
Q9VV75	FBgn0250814	UQCR-C2
Q9VPC2	FBgn0040634	CG4186
O77266	FBgn0025628	CG4199
Q8I0M2	FBgn0038302	CG4210
B7Z0I8	FBgn0250754	CG42232
Q961R7	FBgn0051183	CG31183
Q9VF20	FBgn0038376	Hmt-1
Q8T498-1	unknown ID	-
B7Z0C9	FBgn0259203	CG42307
Q59DP9	FBgn0259214	PMCA
B7YZF6	FBgn0259221	ATP8A
B7YZF8	FBgn0259221	ATP8A
Q0KI81	FBgn0259227	CG42327
B7YZF1	FBgn0259238	CG42336
B7YZK4	FBgn0259682	Jabba
Q9VDZ4	FBgn0259704	Nsun5
Q9W135	FBgn0259742	CG42360
B7YZZ0	FBgn0259717	CG42371
B7Z018	FBgn0265968	Tfb5
B7Z073	FBgn0259720	CG42374
B7Z0J4	FBgn0259721	CG42375
B7Z107	FBgn0259722	CG42376
B7YZW3	FBgn0259735	mtgo
A8DYK5	FBgn0034598	CG4266
Q9VQ96	FBgn0264979	CG4267
Q9W2K2	FBgn0261067	LSm1
Q9VPB8	FBgn0037020	Pex14
Q8MRL9	FBgn0031287	CG4291
Q9VTW0	FBgn0036272	Sms
Q86P51	FBgn0052645	CG32645
Q9VYG3	FBgn0030456	CG4332
Q9VFA0	FBgn0038313	CG4338
Q9VL96	FBgn0032138	CG4364
Q8IPU3	FBgn0037024	tzn
Q8IPE8	FBgn0028479	Mtpalpha
Q7KSB5	FBgn0038771	CG4390
A1ZAG1	FBgn0034126	jtb
Q8T4E1	FBgn0023545	PIG-K
Q8IR76	FBgn0030431	CG4407
Q7JVX3	FBgn0039073	CG4408
Q9VYI6	FBgn0052649	Coq8
Q9VXF9	FBgn0030753	rngo
Q8T0M6	FBgn0035980	mRRF1
Q8MSB4	unknown ID	-
Q8IH34	FBgn0035981	CG4452
Q86P29	FBgn0035969	CG4476
A2VEI2	FBgn0031893	MICU1
Q9VM35	FBgn0031896	CG4502
Q9VGV8	FBgn0037843	CG4511
Q8IN64	unknown ID	-
Q8MRS6	FBgn0031304	TBC1D23
Q8T3N8	FBgn0034734	CG4554
Q9W3V2	FBgn0029912	CG4557
Q9VM33	FBgn0263133	mEFG1
Q9VDT5	FBgn0038738	CG4572
Q8MZ14	FBgn0036629	GluRS-m
O77475	FBgn0025335	Cpes
Q9W3U0	FBgn0029924	CG4586
Q95SQ5	FBgn0032162	CG4592
Q8SYD7	FBgn0029929	CG4593
Q9VL67	FBgn0032161	CG4594
Q9VL68	FBgn0032160	CG4598
Q9VRJ9	FBgn0035593	CG4603
Q9W245	FBgn0034735	CG4610
Q9VRJ7	FBgn0035591	CG4611
Q9W158	FBgn0035016	CG4612
Q9W3S4	FBgn0029936	CG4617
Q9VRJ5	FBgn0035589	CHMP2B
Q7KTG0	FBgn0032166	CG4619
Q2PE14-1	unknown ID	-
Q95TH3	FBgn0053158	CG33158
B7YZR5	unknown ID	-
Q9VYI1	FBgn0030435	CG4645
A1Z9A2	FBgn0033810	CG4646
Q9VL57	FBgn0032170	CG4658
Q9W440	FBgn0029838	CG4666
Q7JQR3	FBgn0033814	Qsox1
Q8IMS6	unknown ID	-
A1Z9A8	FBgn0033816	CG4679
Q9VBP6	FBgn0039349	Ssadh
Q9VDT4	FBgn0038739	CG4686
Q7JYX0	FBgn0033817	GstE14
Q9W141-2	unknown ID	-
Q0KI68	FBgn0262527	nsl1
Q95U74	FBgn0039024	Nepl15
Q961F9	FBgn0036623	Agpat3
Q9VKJ3	FBgn0262647	Nup160
Q8T079	FBgn0043456	Ndf
Q9VPX3	FBgn0283525	l(2)10685
Q8MS45	FBgn0034733	CG4752
Q9VV49	FBgn0036622	Agpat4
Q2XYI2	FBgn0031310	Vps29
Q9VRL0	FBgn0035600	Cyt-c1
Q9VCU7	FBgn0263143	vret
Q9VRL2	FBgn0260856	Membrin
Q9VPY0	FBgn0031314	IntS14
Q9VXA9	FBgn0030792	CG4789
Q9V813	FBgn0034215	Mtap
Q8T9I4	FBgn0260456	CG4806
Q9VCV3	FBgn0039013	CG4813
Q9VPD3	FBgn0287585	Pss
Q7K0L5	FBgn0034225	veil
Q9VV47	FBgn0036620	CG4842
A1ZAU4	FBgn0034229	CG4847
Q9VGC3	FBgn0037998	Cog1
Q9VAX8	FBgn0039566	CG4849
Q9VPD2	FBgn0037011	CG4858
Q95S48	FBgn0037999	CG4860
Q8SY58	FBgn0030799	CG4872
Q95RV6	unknown ID	-
Q9VX97	FBgn0030803	CG4880
O77477	FBgn0025336	CG4882
Q9VAX9	FBgn0039565	CG4884
Q6NQZ3	FBgn0031319	CG4896
Q9VL25	FBgn0032194	CG4901
Q9VL22	FBgn0032195	CG4908
Q9VV40	FBgn0036614	Golgin104
Q9VV41	FBgn0283681	Tcs3
Q9VDQ3	FBgn0038768	CG4936
A1A708	FBgn0039563	CG4951
Q95TN1	FBgn0032204	CG4953
Q8T9L2	FBgn0032205	CG4957
A1ZAX6	FBgn0034261	HPS4
Q9VL00	FBgn0032214	CG4968
Q8MZ34	FBgn0032217	CG4972
Q9VDP8	FBgn0038772	mdlc
B7YZJ4	FBgn0034266	CG4975
Q9VAY6	FBgn0039558	BCAS2
B7Z0Z9	unknown ID	-
Q0E8E2	FBgn0036612	CG4998
Q8MSW5	FBgn0039554	CG5003
Q7KML2	FBgn0027572	CG5009
Q9VX77	FBgn0260747	Chchd2
Q8T021	FBgn0263605	l(3)72Dn
Q8IQC1-1	unknown ID	-
Q9I7J0	FBgn0038774	CG5023
Q8MRD6	FBgn0035945	CG5026
Q8MT18	FBgn0039358	CG5028
Q86BP1	FBgn0038326	CG5044
Q9VKY3	FBgn0032229	ClpP
A1ZAI5	FBgn0034145	CG5065
Q95R98	FBgn0035951	CG5068
Q9VF70	FBgn0038331	Ccm3
Q7KSB3	FBgn0261550	CG42668
Q7K3E2	FBgn0031313	CG5080
Q9VSS9	FBgn0035953	CG5087
Q6AWG9-2	unknown ID	-
Q9VJD2	FBgn0032642	CG5110
Q9VBQ5	FBgn0039341	CG5112
Q9VUI8	FBgn0036460	CG5114
Q8SYD1	FBgn0039339	CG5116
Q9VPY7	FBgn0031320	CG5126
Q8SZS6	FBgn0039335	Vps33B
Q9VJD0	FBgn0032644	CG5131
Q8T8X7	FBgn0035957	CG5144
Q8SYM9	FBgn0036775	RpIIIC53
Q9VM22	FBgn0031904	CG5149
Q8SXG0	FBgn0030828	CG5162
Q9VG81	FBgn0038038	Sccpdh2
Q9VKW1	FBgn0032246	Wdfy2
A1ZB77	FBgn0034345	CG5174
Q9VM17	FBgn0031909	CG5181
Q8SZG2	FBgn0032247	CG5188
Q9V8I2	FBgn0034350	CG5189
Q7JUX9	FBgn0034351	rswl
Q7KSA4	FBgn0038803	CG5191
Q8SWX8	FBgn0038039	CG5196
Q9VKV5	FBgn0032250	holn1
Q961L2	FBgn0038344	obe
Q9VGQ1	FBgn0037891	CG5214
Q9VEP1	FBgn0038471	Trm7-32
Q95TS5	FBgn0036570	IntS9
Q7JVZ8	FBgn0034354	GstE11
A1ZB95	FBgn0262476	CG43066
Q9VUY0	FBgn0036565	CG5235
Q7KTK9	FBgn0283658	muc
Q9VPF9	FBgn0036987	CG5274
Q9VGN8	FBgn0037900	CG5276
Q8IQN2	FBgn0036566	ClC-c
Q9VK30	FBgn0032477	Alg7
Q95U34	FBgn0263199	Galk
Q5U160	FBgn0036772	CG5290
Q9VEM0	FBgn0038491	CG5292
Q8MSG8-1	unknown ID	-
Q8SYU2	FBgn0032404	RpL7-like
Q7JVK8	FBgn0034362	CG5323
Q8IP97	FBgn0032407	Pex19
A1ZBB1	FBgn0034365	CG5335
Q9W1H1	FBgn0034925	CG5339
Q9VKV8	FBgn0032248	Bug22
Q961N7	FBgn0032242	CG5355
Q9W1N8	FBgn0261786	mi
Q8MQS7	FBgn0262782	Mdh1
Q9VKY4	FBgn0032228	CG5367
Q8MRU8	FBgn0038974	CG5377
Q9VD25	FBgn0038951	CG5380
Q9VD26	FBgn0038950	CG5382
Q9VKZ8	FBgn0032216	Usp14
Q9VKZ9	FBgn0267365	l(2)SH0834
Q8T4C4	FBgn0036568	ATPsynbetaL
Q9VPZ5	FBgn0031327	CG5397
Q9VDL1	FBgn0038806	CG5412
Q9VUY4	FBgn0036569	IleRS-m
Q868A1	FBgn0032429	CG5446
Q9VBF0	FBgn0039427	CG5447
Q9VE18	FBgn0038666	Smu1
Q8IGR5	FBgn0039153	GatB
Q7K3D4	FBgn0034368	zda
Q8IGH0	FBgn0039450	Yif1
Q9VBB3	FBgn0039459	IntS12
Q8IMM7	FBgn0027579	mino
Q9VCC2	FBgn0039160	CG5510
Q95RT3	FBgn0039163	CG5515
Q9VB98	FBgn0039466	CG5521
Q9VCB8	FBgn0266282	jnj
Q9VK69	FBgn0032444	CCT4
Q7KUR6	FBgn0036764	CG5535
Q9VRQ1	FBgn0035639	kri
Q9W1J3	FBgn0034908	CG5543
Q9VXZ0	FBgn0030605	ND-B18
Q9W1I7	FBgn0034914	CG5554
Q9VDZ1	FBgn0038686	CG5555
Q8T0U0	FBgn0036760	CG5567
Q9VRQ4	FBgn0035641	CG5568
Q9W1H9	FBgn0034919	CG5569
Q9VPH8	FBgn0036973	Rbbp5
Q9VVK8	FBgn0036754	CG5589
Q9VB10	FBgn0039537	CG5590
Q9VXY3	FBgn0030612	CG5599
Q960P4	unknown ID	-
Q6NR00	unknown ID	-
Q8T989	FBgn0038058	CG5608
Q9VB17	FBgn0039531	CG5611
Q86B46	FBgn0030839	CG5613
Q95RP4	FBgn0034708	Vps35
Q9VTV4	FBgn0036266	Tsen54
Q7KN99	FBgn0261285	Ppcs
A8JR58	FBgn0038842	hdly
Q76NQ3	FBgn0260749	Utx
Q9VG73	FBgn0038046	CG5641
Q9VTU4	FBgn0036258	eIF3l
Q9VSS3	FBgn0035948	CG5644
Q9VSR7	FBgn0035942	ValRS-m
Q960G7	FBgn0037082	CG5664
Q9VL16	FBgn0032200	CG5676
Q9W059	unknown ID	-
Q7JYN2	FBgn0030853	ND-24
Q9VK20	FBgn0032486	mRF1
Q9VCA5	FBgn0039175	beta-PheRS
Q7K486	FBgn0034315	CG5721
Q7JRH5	FBgn0034313	CG5726
Q9VC94	FBgn0039182	CG5728
B7Z0F2	unknown ID	-
Q95RC5	FBgn0038855	CG5745
A1ZB29	FBgn0034299	CG5757
Q9VK63	FBgn0032450	CG5776
Q9VK59	FBgn0032454	CG5787
Q9VC63	FBgn0039207	CG5789
Q9VD48	FBgn0040582	BomBc3
Q9VK57	FBgn0032455	Pih1D1
Q8T8S4	FBgn0038858	CG5793
Q7KS15	unknown ID	-
Q8MQX4	FBgn0038862	Usp8
Q9VX34	FBgn0030855	CG5800
Q9VDD7	FBgn0250820	meigo
Q9VEJ4	FBgn0038515	CG5823
Q8MRA2	FBgn0031682	CG5828
Q9VG69	FBgn0038049	Srlp
Q960D7	FBgn0032167	CG5853
Q8I0A0	FBgn0039130	CG5854
A1ZAK1	FBgn0025830	IntS8
Q9V3I6	FBgn0015338	CG5861
Q9VDD1	FBgn0038868	CG5862
Q961J2	FBgn0038870	Oga
Q9VBL3	FBgn0039379	CG5886
Q2PDU7	unknown ID	-
Q9VCF0	FBgn0039136	CG5902
Q9VEY5	FBgn0038400	CG5903
Q960C1	FBgn0039385	CG5913
Q8MRH1	FBgn0038876	Idi
Q9VUV9	FBgn0263599	l(3)72Ab
Q9VCE6	FBgn0039139	Mettl3
Q9W445	FBgn0029833	MCTS1
Q0E8F5	FBgn0036211	CG5946
Q4LDP7	FBgn0036211	CG5946
Q9VG61	FBgn0038056	CG5961
Q9W448	FBgn0029831	CG5966
Q8T3M1	unknown ID	-
Q7K284	FBgn0033842	cbc
Q9VM11	FBgn0031914	CG5973
Q95TT8	FBgn0035916	GAPsec
Q9VCE0	FBgn0026576	Pisd
Q86P45	FBgn0051064	CG31064
Q95S35	unknown ID	-
Q9VE08	FBgn0038675	CG6013
Q9VD52	FBgn0038927	CG6015
A1Z9D9	FBgn0033844	bbc
Q86NN5	FBgn0037001	ND-39
Q95SI7	FBgn0038924	CG6028
Q9VTM6	FBgn0036198	crim
Q8SXA6	FBgn0038349	AOX3
Q7K204	FBgn0037081	barc
Q9VBG6	FBgn0039417	CG6073
Q8IQF8	FBgn0086254	Akr1B
Q9VKM7	FBgn0053129	CG33129
Q95S49	FBgn0036180	Duba
Q9VKU3	FBgn0032261	CG6094
Q9VJG4	FBgn0040985	CG6115
Q961R9	FBgn0038407	CG6126
Q9W4M9	FBgn0026079	Nsun2
Q9VF71	FBgn0038332	CG6136
Q9VKU5	FBgn0032259	CG6144
Q8IQM8	unknown ID	-
Q9VK68	FBgn0032445	CG6153
Q86P18	FBgn0053970	osy
Q9VCC6	FBgn0039156	CG6178
Q9VWV8	FBgn0030915	CG6179
Q9VK60	FBgn0032453	CG6180
Q8MQS4	FBgn0032341	Reps
Q8T0A2	FBgn0038325	Atg4b
Q9VDV2	FBgn0038723	CG6195
Q9VF82	FBgn0266722	Trs33
A1Z9G2	FBgn0033859	fand
Q8MSV4	unknown ID	-
Q95TZ2	FBgn0039165	CG6204
Q8IPB7	FBgn0027611	LManII
Q9VH25	FBgn0266721	gammaSnap2
Q9VF86	FBgn0038321	CG6218
Q95TU3	FBgn0030631	CG6227
Q95TI3	FBgn0038318	CG6236
Q9VVI9	FBgn0036740	Vps60
Q9VF93	FBgn0038316	CG6276
Q9VKI8	FBgn0032350	CG6287
Q9VH02	FBgn0037807	CG6293
Q8SZY9	FBgn0052075	CG32075
Q9VTD9	FBgn0036117	CG6321
Q9VVI0	FBgn0036733	U4-U6-60K
Q7KUE9	FBgn0263776	CG43693
Q8IMQ8	FBgn0039464	CG6330
Q8IR32	unknown ID	-
A1Z9I0	FBgn0033875	CG6357
Q9VG51	FBgn0038065	Snx3
B7Z0P8	FBgn0263398	Uck
Q7K110	FBgn0034277	OstDelta
Q9VK89	FBgn0032430	CG6388
A8WHF7	unknown ID	-
Q9VX17	FBgn0030870	CG6398
Q7K1C5	FBgn0034269	Hyccin
Q9VTC3	FBgn0036106	CG6409
Q7JR96	FBgn0034265	Snx16
Q9VJC7	FBgn0032646	mEFTs
Q9VTC1	FBgn0036104	CG6418
Q8IGP2	unknown ID	-
Q9W4N6	FBgn0029689	CG6428
Q9VD58	FBgn0038922	Idh3b
Q9VKQ9	FBgn0032293	Dpy-30L1
Q9VJD1	FBgn0032643	GCS2beta
Q8MR20	FBgn0039187	CG6454
P91928-1	unknown ID	-
Q7JXC4	FBgn0034259	P32
Q9VWT3	FBgn0030932	Ggt-1
Q8IQQ8	FBgn0036710	CG6479
Q9VKH0	FBgn0287204	Cog8
Q7K1H0	FBgn0052066	CG32066
Q8MSY6	FBgn0267390	dop
Q7JYH0	FBgn0040606	CG6503
Q9VKG8	FBgn0032363	Dlg5
Q9VSP0	FBgn0035923	CG6511
Q8IQQ9	FBgn0036702	CG6512
A1ZAT5	FBgn0034223	Tes
Q9VJZ6	FBgn0032509	CG6523
Q9VWS2	FBgn0030943	Nup35
Q7JR58	FBgn0033879	Echs1
Q7K4W1	FBgn0034214	CG6550
Q9VGV9	FBgn0037842	CG6567
Q8MRA9	FBgn0034210	Camp
Q9VWB1	FBgn0036967	SCCRO4
Q9VC66	FBgn0039204	CG6607
Q9W293	FBgn0034694	Plekhm1
Q9VWS1	FBgn0030944	CG6617
Q8MZH3	unknown ID	-
Q9VFB7	FBgn0038303	SIDL
Q9VD72	FBgn0260940	lsn
Q9VSL9	FBgn0035911	CG6638
Q7KS16	FBgn0266758	Esyt2
Q9VSL6	FBgn0035907	GstO1
Q2PDZ3	unknown ID	-
Q8MYW1	FBgn0037873	SdhC
Q7K206	FBgn0035906	GstO2
Q9VT74	FBgn0036063	CG6674
Q8T064	FBgn0032388	CG6686
Q9VFC1	FBgn0038299	Spn88Eb
Q9VGR7	FBgn0037878	CG6693
Q9XZ16	FBgn0027526	Ublcp1
A1Z9K0	FBgn0033889	CG6701
A1Z9J8	FBgn0033887	St4
Q9VT68	FBgn0036058	CG6707
Q9VKB4	FBgn0032408	CG6712
Q7KUD4	FBgn0036053	iPLA2-VIA
Q9VGP6	FBgn0264694	mgr
Q9VKQ3	FBgn0032298	CG6724
Q7JUX5	FBgn0039049	CG6726
Q9VKQ6	FBgn0032296	CG6729
Q9VSK9	FBgn0035901	Pus7
Q9VKD2	FBgn0032394	Hacd1
Q9VKR0	FBgn0032292	EMC3
A1Z8D0	FBgn0263510	nclb
Q9W281	FBgn0034704	CG6758
Q9VGN9	FBgn0037899	RpL24-like
Q8MQY6	FBgn0032398	CG6766
Q8IGE6	FBgn0036030	Prps
Q9VX08	FBgn0030878	CG6769
Q9VSL2	FBgn0035904	GstO3
Q7KSQ0	FBgn0037912	sea
Q8IGA2	FBgn0037913	fabp
Q9VTS7	FBgn0036242	CG6793
Q7JZR5	FBgn0034177	AsnRS-m
Q86NT2	unknown ID	-
Q8SZ96	unknown ID	-
Q9VUC3	FBgn0036405	CG6833
Q9VNS2	FBgn0037182	ArfGAP3
Q8SX58	FBgn0036828	CG6841
B7Z076	unknown ID	-
Q9VUL1-1	unknown ID	-
Q9VUL8	FBgn0036484	Pex3
Q9VUM1	FBgn0036487	Prp31
Q9VUM2	FBgn0036488	CG6878
Q9VUM4	FBgn0036490	CG6888
Q8IQX5	FBgn0030955	CG6891
Q9VFC8-1	unknown ID	-
Q9W0R0	FBgn0265574	Cdc5
Q9VMQ7	FBgn0031711	CG6907
Q9W4G1	FBgn0029733	CG6927
Q7K155	FBgn0036240	CG6928
Q8SYV4	FBgn0038989	CG6937
Q9VUK7	FBgn0036476	sstn
Q8IGP9	FBgn0037955	Kyat
Q9VWQ3	FBgn0030959	CG6961
